"Chemical","CASRN","145349","145374","145375","146095","146113","146308","146979","147134","147589","148068","148577","149193","149601","149758","149954","150021","150039","150047","150061","150089","150151","150427","150428","150488","150543","150561","150580","150812","150924","150927","151232","151360","152741","152755","153265"
"1-Hydroxynaphthalene","90-15-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0
"1-Methylnaphthalene","90-12-0",0,2.31,0,2.1,0,2.2,1.89,0,0,0,1.05,2.52,0,3.4,13.9,0,0,9.36,0,1.68,3.74,0,5.35,0,2.52,0,2.36,9.86,2.52,1.68,3.36,3.99,4.41,0,2.1
"1-Methylphenanthrene","832-69-9",0,0,0,0,0,0,5.67,0,0,18.1,0,0,23.3,0,0,0,0,10.4,12.6,0,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0
"1,6-Dimethylnaphthalene","575-43-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0
"1,8-Dimethylnaphthalene","569-41-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methylnaphthalene","91-57-6",0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Methylphenanthrene","2531-84-2",0,0,0,0,0,0,0,0,0,19.5,0,0,8.49,0,0,0,0,14.1,17.2,0,0,0,0,0,0,0,12.2,0,6.93,0,0,0,0,0,0
"2-Methylphenol","95-48-7",630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3,5-Trimethylphenol","697-82-5",0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Di-tert-butylphenol","96-76-4",252,46.2,75.6,39.9,0,92.8,107,75.6,0,154,37.8,98.7,53.1,142,198,101,486,139,109,31.5,96.3,62.3,80.2,0,202,0,53.6,0,107,0,105,109,48.3,54.6,111
"2,4-Dimethylphenol","105-67-9",0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Di-tert-butyl-4-ethylphenol","4130-42-1",0,0,0,0,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,19.5
"2,6-Di-tert-butylphenol","128-39-2",0,0,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,6-Dimethylphenanthrene","1576-67-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0
"4-Chloro-3,5-dimethylphenol","88-04-0",0,103,86.1,0,0,0,0,0,0,0,0,0,0,9.97,0,86.1,0,16,42,0,0,0,0,15.9,158,0,34.3,236,0,19.3,0,0,0,0,0
"4-Chlorophenyl isocyanate","104-12-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Isopropylphenol","99-89-8",0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Methoxyphenol","150-76-5",0,0,0,0,0,0,60.9,0,0,0,0,0,50.9,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Tert-butylphenol","98-54-4",0,0,0,0,0,0,2100,0,0,1420,27.3,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,4'-DDT","50-29-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0
"A-Ionone","127-41-3",0,0,0,0,0,0,0,0,291,0,0,0,0,89.1,740,0,783,0,0,0,98.9,0,0,0,0,277,0,0,0,0,0,25.2,137,0,0
"Acenaphthylene","208-96-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0
"Amyl cinnamal","122-40-7",1720,0,0,0,0,176,0,0,1480,0,693,71.4,0,185,1270,504,1510,0,0,96.6,321,0,34.8,136,0,143,0,386,86.1,0,441,0,98.7,0,0
